"box","ID","transp","in_","out_","in_duration","out_duration","in_r_pk","out_r_pk","direction_detail","direction","type","time_inside_min","sex","IDmale","firstEgg","date_","rel_day","sleep","start","end","counter","sound_data","channel"
"74",115,"B4P9328","6220000000008001",2019-04-16 11:45:08,2019-04-16 11:48:10,5.886,4.663,770446,770471,"O/I|I/O","IN-OUT","v2",3.11105000178019,2,"B4P8414",2019-04-12,2019-04-16,4,0,2019-04-16 11:42:01,2019-04-16 11:51:21,100,1,"1"
"75",122,"B4X1790","43D0000000008001",2019-04-12 19:43:48,2019-04-13 06:19:48,3.06,3.49,3591219,3591229,"O/I|I/O","IN-OUT","v2",636.058166666826,2,"B4P9113",2019-04-14,2019-04-13,-1,1,2019-04-13 05:49:51,2019-04-13 06:49:51,285,1,"0"
"76",122,"B4X1790","43D0000000008001",2019-04-13 19:40:56,2019-04-13 19:42:59,2.615,4.933,3591612,3591619,"O/I|I/O","IN-OUT","v2",2.13221666812897,2,"B4P9113",2019-04-14,2019-04-13,-1,0,2019-04-13 19:38:48,2019-04-13 19:45:11,286,1,"0"
"77",125,"B4H0150","0A2213A801AF0001",2019-04-08 19:42:36,2019-04-09 06:27:35,3.112,5.223,299640,299647,"O/I|I/o","IN-OUT","v2",645.07038333416,2,"B4X1240",2019-04-09,2019-04-09,0,1,2019-04-09 05:57:40,2019-04-09 06:57:40,3,1,"1"
"78",125,"B4H0150","0A2213A801AF0001",2019-04-09 06:42:42,2019-04-09 07:04:20,0.964,3.874,299657,299724,"O/i|I/o","IN-OUT","v2",21.697900001208,2,"B4X1240",2019-04-09,2019-04-09,0,0,2019-04-09 06:21:00,2019-04-09 07:26:05,4,1,"1"
"79",125,"B4H0150","0A2213A801AF0001",2019-04-09 19:41:19,2019-04-10 06:40:13,2.016,4.842,300112,300184,"O/I|I/o","IN-OUT","v2",658.980700000127,2,"B4X1240",2019-04-09,2019-04-10,1,1,2019-04-10 06:10:17,2019-04-10 07:10:17,5,1,"1"
"80",125,"B4H0150","0A2213A801AF0001",2019-04-10 06:54:13,2019-04-10 07:14:30,1.185,2.694,300196,300343,"O/I|I/o","IN-OUT","v2",20.3282333334287,2,"B4X1240",2019-04-09,2019-04-10,1,0,2019-04-10 06:33:53,2019-04-10 07:34:52,6,1,"1"
"81",125,"B4H0150","0A2213A801AF0001",2019-04-12 19:22:04,2019-04-13 06:24:12,2.638,4.357,301630,301647,"O/I|I/o","IN-OUT","v2",662.205950001876,2,"B4X1240",2019-04-09,2019-04-13,4,1,2019-04-13 05:54:16,2019-04-13 06:54:16,7,1,"1"
"82",125,"B4H0150","0A2213A801AF0001",2019-04-13 06:49:02,2019-04-13 07:08:52,3.279,4.381,301654,301783,"O/I|I/o","IN-OUT","v2",19.9063500006994,2,"B4X1240",2019-04-09,2019-04-13,4,0,2019-04-13 06:29:07,2019-04-13 07:28:50,8,1,"1"
"83",125,"B4H0150","0A2213A801AF0001",2019-04-13 07:42:52,2019-04-13 08:08:16,1.971,3.45,301790,301951,"O/I|I/o","IN-OUT","v2",25.4575000007947,2,"B4X1240",2019-04-09,2019-04-13,4,0,2019-04-13 07:17:24,2019-04-13 08:33:46,9,1,"1"
"84",125,"B4H0150","0A2213A801AF0001",2019-04-13 08:12:07,2019-04-13 08:15:28,1.632,2.5,301970,302009,"O/I|I/o","IN-OUT","v2",3.39166666666667,2,"B4X1240",2019-04-09,2019-04-13,4,0,2019-04-13 08:08:43,2019-04-13 08:18:54,10,1,"1"
