"box","ID","time_inside_min","in_","out_","out_duration","sleep","counter","direction_reliable","overlap","rel_day","start","end","type","DB","no_song","no_calls","noYN","noCallsYN","N","f_type","no_vocs","noVocsYN","f_noYN","no_mins_song","no_mins_calls","no_mins_vocs","song_per_time","calls_per_time","vocs_per_time","date_","hour_of_out"
"72",21,"B4P9561",8.86661666631699,2019-04-11 08:31:52,2019-04-11 08:40:42,1.997,0,122,1,1,0,2019-04-11 08:23:00,2019-04-11 08:48:59,"during",-30,1,11,1,1,8,"during",12,1,"1",1,2,3,0.11278259088372,1.24060849972092,1.35339109060464,2019-04-11,8
"73",21,"B4P9561",8.86661666631699,2019-04-11 08:31:52,2019-04-11 08:40:42,1.997,0,122,1,1,0,2019-04-11 08:23:00,2019-04-11 08:48:59,"after",-30,0,6,0,1,8,"after",6,1,"0",0,1,1,0,0.676695545302318,0.676695545302318,2019-04-11,8
"74",21,"B4P9561",639.411883334319,2019-04-12 19:47:36,2019-04-13 06:26:57,3.713,-1,1049,1,1,1,2019-04-12 19:33:00,2019-04-12 20:01:59,"before",-30,0,0,0,0,14,"before",0,0,"0",0,0,0,0,0,0,2019-04-13,6
"75",21,"B4P9561",639.411883334319,2019-04-12 19:47:36,2019-04-13 06:26:57,3.713,-1,1049,1,1,1,2019-04-12 19:33:00,2019-04-12 20:01:59,NA,-30,0,0,0,0,1,NA,0,0,"0",0,0,0,0,0,0,2019-04-13,6
"76",21,"B4P9561",639.411883334319,2019-04-12 19:47:36,2019-04-13 06:26:57,3.713,-1,1049,1,1,1,2019-04-12 19:33:00,2019-04-12 20:01:59,"during",-30,0,0,0,0,14,"during",0,0,"0",0,0,0,0,0,0,2019-04-13,6
"77",21,"B4P9561",639.411883334319,2019-04-12 19:47:36,2019-04-13 06:26:57,3.713,1,123,1,-1,2,2019-04-13 05:57:00,2019-04-13 06:56:59,"during",-30,34,14,1,1,30,"during",48,1,"1",12,7,18,1.13333333333333,0.466666666666667,1.6,2019-04-13,6
"78",21,"B4P9561",639.411883334319,2019-04-12 19:47:36,2019-04-13 06:26:57,3.713,1,123,1,-1,2,2019-04-13 05:57:00,2019-04-13 06:56:59,NA,-30,0,0,0,0,1,NA,0,0,"0",0,0,0,0,0,0,2019-04-13,6
"79",21,"B4P9561",639.411883334319,2019-04-12 19:47:36,2019-04-13 06:26:57,3.713,1,123,1,-1,2,2019-04-13 05:57:00,2019-04-13 06:56:59,"after",-30,1,0,1,0,29,"after",1,1,"1",1,0,1,0.0333333333333333,0,0.0333333333333333,2019-04-13,6
"80",21,"B4P9561",24.1588666677475,2019-04-13 06:45:45,2019-04-13 07:09:52,2.532,0,124,1,-1,2,2019-04-13 06:22:00,2019-04-13 07:33:59,"before",-30,8,2,1,1,23,"before",10,1,"1",3,1,3,0.331141361472893,0.0827853403682232,0.413926701841116,2019-04-13,7
"81",21,"B4P9561",24.1588666677475,2019-04-13 06:45:45,2019-04-13 07:09:52,2.532,0,124,1,-1,2,2019-04-13 06:22:00,2019-04-13 07:33:59,NA,-30,0,0,0,0,2,NA,0,0,"0",0,0,0,0,0,0,2019-04-13,7
"82",21,"B4P9561",24.1588666677475,2019-04-13 06:45:45,2019-04-13 07:09:52,2.532,0,124,1,-1,2,2019-04-13 06:22:00,2019-04-13 07:33:59,"during",-30,1,0,1,0,23,"during",1,1,"1",1,0,1,0.0413926701841116,0,0.0413926701841116,2019-04-13,7
"83",21,"B4P9561",24.1588666677475,2019-04-13 06:45:45,2019-04-13 07:09:52,2.532,0,124,1,-1,2,2019-04-13 06:22:00,2019-04-13 07:33:59,"after",-30,0,1,0,1,24,"after",1,1,"0",0,1,1,0,0.0413926701841116,0.0413926701841116,2019-04-13,7
